Gender	Age	OGrade	IGrade
M	30	-	1
M	27	-	1
F	30	-	1
F	25	-	1
F	30	-	1
F	23	-	1
F	29	-	1
F	18	-	1
F	20	-	1
F	25	-	1
F	36	-	1
F	24	-	1
F	23	-	1
F	47	-	1
F	26	-	1
F	25	-	1
F	23	-	1
F	20	-	1
F	24	-	1
F	39	-	1
F	19	-	1
M	22	-	1
F	39	-	1
M	22	-	1
M	44	-	1
M	28	-	1
M	37	-	1
M	25	-	1
M	55	-	1
F	51	-	1
F	28	-	1
M	28	-	1
F	31	-	1
M	41	-	1
M	47	-	1
M	48	-	1
F	29	-	1
M	24	-	1
F	22	-	1
M	24	-	1
M	24	-	1
M	23	-	1
M	27	-	1
M	27	-	1
F	43	-	1
M	34	-	1
M	42	-	1
F	43	-	1
F	27	-	1
F	31	-	1
F	36	-	1
F	25	-	1
M	29	-	1
F	53	-	1
M	38	-	1
M	24	-	1
M	24	-	1
F	45	-	1
F	25	-	1
M	55	-	1
F	29	-	1
F	26	-	1
F	22	-	1
M	26	-	1
M	50	-	1
F	25	-	1
M	22	-	1
F	47	-	1
M	28	-	1
F	27	-	1
F	54	-	1
M	35	-	1
F	40	-	1
M	24	-	1
F	24	-	1
F	35	-	1
F	32	-	1
F	27	-	1
F	24	-	1
M	42	-	1
F	25	-	1
M	19	-	1
M	37	-	1
F	21	-	1
M	25	-	1
M	30	-	1
M	30	-	1
M	27	-	1
F	31	-	1
M	27	-	1
M	27	-	1
F	33	-	1
F	29	-	1
F	60	-	1
M	56	-	1
F	25	-	1
M	37	-	1
M	33	-	1
M	26	-	1
M	18	-	1
M	25	-	1
M	24	-	1
F	23	-	1
M	27	-	1
F	43	-	1
M	35	-	1
M	18	-	1
M	37	-	1
M	54	-	1
M	27	-	1
M	34	-	1
M	27	-	1
M	54	-	1
M	39	-	1
M	57	-	1
M	27	-	1
M	26	-	1
M	24	-	1
M	34	-	1
F	25	-	1
M	23	-	1
M	31	-	1
M	27	-	1
M	43	-	1
M	34	-	1
F	32	-	1
F	39	-	1
F	43	-	1
