Word,Weight,Modularity Class
audrey hepburn,1.92074986,3
lace,1.771358204,2
dance,4.716507991,3
hats,1.408549897,3
people,4.012233042,3
weight loss,4.353699684,3
velvet underground,0.640249953,2
hip bones,2.070141516,3
jack off jill,7.341532801,1
maroon 5,2.283558167,1
hoobastank,1.96343319,1
heavy metal,3.030516446,3
billy idol,0.939033265,1
meditation,3.692108065,0
arrested development,1.131108251,0
hate,6.658599517,3
children,2.155508177,0
classic rock,2.219533172,0
ozzy,0.746958279,1
ballet,3.564058074,0
suicide,15.579415537,3
atheism,2.881124791,0
icons,8.643374373,3
paris,1.87806653,0
sonic youth,0.853666604,2
tolkien,1.131108251,0
inside jokes,0.981716595,3
thursday,5.143341293,1
mental health,5.442124605,0
german,1.92074986,0
spanish,1.856724865,0
rainbows,7.576291117,3
girl interrupted,5.783591247,1
teaching,1.323183237,0
lamb of god,1.04574159,1
flip flops,1.109766586,3
the starting line,2.112824846,1
family,6.125057889,3
degrassi,5.015291303,1
fishnet,0.9176916,3
horror,6.743966177,2
internet,11.71657415,3
tatoos,0.9176916,3
vegan,2.283558167,3
simpsons,2.027458186,1
doodling,1.088424921,3
the matrix,1.04574159,0
corsets,7.149457814,2
green tea,2.411608158,3
glassjaw,1.451233228,1
bleach,1.557941553,0
bubbles,2.219533172,3
screaming,3.606741405,3
monkeys,1.643308214,3
system of a down,6.274449545,1
hatebreed,1.067083255,1
white stripes,0.875008269,1
jason mraz,1.04574159,1
school,2.646366474,3
joy division,2.176849842,2
clouds,2.347583163,3
diet,1.707333209,3
greek mythology,0.832324939,0
loneliness,2.582341479,3
sex and the city,2.496974818,1
livejournal,3.62808307,3
painting,17.564190393,0
gum,1.323183237,3
bob marley,1.856724865,1
sunrises,1.109766586,3
80s music,0.512199962,2
diy,2.070141516,0
bright eyes,6.936041163,1
self injury,12.954390727,3
sleep,9.731799294,3
alexisonfire,1.728674874,1
orlando bloom,1.429891562,1
polyamory,1.365866567,0
clothes,5.954324568,3
moulin rouge,3.371983088,1
cookies,2.560999814,3
unwritten law,0.682933283,1
rats,2.560999814,0
porn,4.353699684,3
bleeding,5.740907917,3
tea,9.070207675,0
skiing,2.240874837,3
wrestling,0.96037493,1
belle & sebastian,0.405491637,1
boots,3.6707664,2
johnny the homicidal maniac,2.176849842,2
layouts,1.131108251,3
doctor who,3.884183051,0
design,1.942091525,0
silverstein,1.600624883,1
american idol,1.216474911,1
foreign films,1.685991544,0
harry potter,22.152648393,0
rise against,1.728674874,1
depression,25.652681473,3
blue,3.137224772,3
cupcakes,1.429891562,3
plays,1.024399925,3
darkness,7.747024438,3
indie rock,1.04574159,1
chicago,1.600624883,1
sun,1.600624883,3
cooking,10.030582606,0
caffeine,4.118941368,2
relient k,1.472574893,1
bipolar,4.865899647,3
socialism,1.152449916,0
trigun,0.96037493,0
freaks,2.219533172,3
creative writing,3.009174781,0
fetish,2.774416465,2
sarcasm,9.326307657,2
underoath,2.155508177,1
fairy tales,2.304899832,0
ipod,2.198191507,3
exercise,4.567116335,3
gwen stefani,1.685991544,1
relationships,2.262216502,3
bam margera,1.579283218,1
bulimia,7.106774484,3
men,3.542716409,3
disney movies,1.237816576,3
french,3.414666419,0
eminem,3.649424735,1
water,9.347649322,3
beck,0.853666604,1
baseball,1.429891562,3
healing,2.091483181,0
being alone,2.689049805,3
vegetarianism,5.719566251,0
screamo,2.432949823,1
